Concept,Value,Hue
Conservative,0.6842876847512125,Trump
Liberal,-1.35546903535493,Clinton
Aliens,0.02841997419298381,Trump
Ghosts,0.02931934957523019,Trump
Anti-Vaccination,0.16625628509662072,Trump
Homeopathy,-0.517672618261277,Clinton
9/11 Truth,0.551730300081861,Trump
White Supremicist,1.6468036159809798,Trump
Anti-Gay,0.41043978381277113,Trump
Flat Earth,-0.005295006984897377,Clinton
Chemtrails,0.536719325395218,Trump
Men's Rights,1.2734442306653793,Trump
Intelligent Design,0.6782053939847317,Trump
